question_id,clustering_method,model_type,model_version,num_clusters,variance
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,28,12.893009281305606
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,29,12.473223431047549
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,30,11.846451596060811
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,31,10.173985415542722
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,32,9.266792720318222
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,33,9.358334031701919
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,34,8.788971266063626
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,35,8.537857801318951
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,36,7.467361751282315
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,37,8.076237963848497
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,38,8.60405294422503
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,39,8.976051865233416
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,40,7.751650568602581
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,41,7.102679071035657
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,42,7.597659290550977
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,43,7.420969539607932
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,44,7.206519159793978
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,45,7.174576349695036
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,46,7.752355885388147
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,47,7.5995804321709395
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,48,8.095321928857091
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,49,7.930111277247762
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,50,7.575549872280153
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,51,7.76840871816491
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,52,8.232350389912334
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,53,8.020929572715634
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,54,7.874726011846905
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,55,7.73158304536134
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,56,8.034228691534782
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,57,7.836591069784694
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,58,7.701477430650476
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,59,8.097622922768482
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,60,7.89125801993131
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,61,8.224457792073931
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,62,8.119478291436257
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,63,7.912115420485
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,64,8.240998629755472
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,65,8.120260364478742
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,66,8.200512117262747
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,67,7.9621277348084085
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,68,7.697978797531814
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,69,7.500076538584751
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,70,7.392932588033541
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,71,7.555604114291523
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,72,7.787298948417667
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,73,7.68062362035715
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,74,7.49129179280429
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,75,7.538584342875652
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,76,7.456477082433042
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,77,7.368238570331188
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,78,7.6661157075801585
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,79,7.700994729948831
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,80,7.979732295824471
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,81,7.634303502048859
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,82,7.467656530603832
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,83,7.659514581013193
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,84,7.44928226457256
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,85,7.591107195616495
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,86,7.772525078174305
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,87,7.568243180724026
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,88,7.623184849103255
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,89,7.144272659787488
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,90,7.058537142434425
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,91,6.989408562605213
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,92,6.922001431399907
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,93,6.779507527636957
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,94,6.731952654046507
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,95,6.555826836635491
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,96,6.464562960396614
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,97,6.3979179814234515
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,98,6.488828349244957
TheoryTest1-2022-Q1,hierarchical,GPT-2,base,99,6.721368182935857
TheoryTest1-2022-Q1,hierarchical,BERT,base,2,15.217798915096818
TheoryTest1-2022-Q1,hierarchical,BERT,base,3,13.44126185698588
TheoryTest1-2022-Q1,hierarchical,BERT,base,4,18.77387196731774
TheoryTest1-2022-Q1,hierarchical,BERT,base,5,16.7390450034421
TheoryTest1-2022-Q1,hierarchical,BERT,base,6,13.949204169535085
TheoryTest1-2022-Q1,hierarchical,BERT,base,7,12.066151627883821
TheoryTest1-2022-Q1,hierarchical,BERT,base,8,10.485702982030165
TheoryTest1-2022-Q1,hierarchical,BERT,base,9,9.312288457854823
TheoryTest1-2022-Q1,hierarchical,BERT,base,10,9.373622933900979
TheoryTest1-2022-Q1,hierarchical,BERT,base,11,8.448731971945213
TheoryTest1-2022-Q1,hierarchical,BERT,base,12,6.911337640949778
TheoryTest1-2022-Q1,hierarchical,BERT,base,13,5.654458559659746
TheoryTest1-2022-Q1,hierarchical,BERT,base,14,5.171959976844791
TheoryTest1-2022-Q1,hierarchical,BERT,base,15,5.445169420864592
TheoryTest1-2022-Q1,hierarchical,BERT,base,16,5.069101983049345
TheoryTest1-2022-Q1,hierarchical,BERT,base,17,4.773311929518007
TheoryTest1-2022-Q1,hierarchical,BERT,base,18,4.50355671241176
TheoryTest1-2022-Q1,hierarchical,BERT,base,19,5.402465619599784
TheoryTest1-2022-Q1,hierarchical,BERT,base,20,5.534068156034688
TheoryTest1-2022-Q1,hierarchical,BERT,base,21,7.171110671051787
TheoryTest1-2022-Q1,hierarchical,BERT,base,22,6.841042933054926
TheoryTest1-2022-Q1,hierarchical,BERT,base,23,7.767120204240756
TheoryTest1-2022-Q1,hierarchical,BERT,base,24,8.484373491637987
TheoryTest1-2022-Q1,hierarchical,BERT,base,25,8.144998551972467
TheoryTest1-2022-Q1,hierarchical,BERT,base,26,9.058303503973333
TheoryTest1-2022-Q1,hierarchical,BERT,base,27,9.336184517583522
TheoryTest1-2022-Q1,hierarchical,BERT,base,28,8.666031841390517
TheoryTest1-2022-Q1,hierarchical,BERT,base,29,7.391883459016297
TheoryTest1-2022-Q1,hierarchical,BERT,base,30,7.145276476279163
TheoryTest1-2022-Q1,hierarchical,BERT,base,31,6.93323238298562
TheoryTest1-2022-Q1,hierarchical,BERT,base,32,6.505617003180165
TheoryTest1-2022-Q1,hierarchical,BERT,base,33,6.1586473188870405
TheoryTest1-2022-Q1,hierarchical,BERT,base,34,6.0195132923262635
TheoryTest1-2022-Q1,hierarchical,BERT,base,35,5.75770379344955
TheoryTest1-2022-Q1,hierarchical,BERT,base,36,6.311664023620143
TheoryTest1-2022-Q1,hierarchical,BERT,base,37,5.96201814059063
TheoryTest1-2022-Q1,hierarchical,BERT,base,38,5.829818122283001
TheoryTest1-2022-Q1,hierarchical,BERT,base,39,6.346445640209575
TheoryTest1-2022-Q1,hierarchical,BERT,base,40,7.230890097868898
TheoryTest1-2022-Q1,hierarchical,BERT,base,41,7.707543868379483
TheoryTest1-2022-Q1,hierarchical,BERT,base,42,7.55126470885518
TheoryTest1-2022-Q1,hierarchical,BERT,base,43,7.15639598502551
TheoryTest1-2022-Q1,hierarchical,BERT,base,44,6.766477894456748
TheoryTest1-2022-Q1,hierarchical,BERT,base,45,6.666382383622436
TheoryTest1-2022-Q1,hierarchical,BERT,base,46,7.03436313151443
TheoryTest1-2022-Q1,hierarchical,BERT,base,47,7.112958473139973
TheoryTest1-2022-Q1,hierarchical,BERT,base,48,7.3578632573258345
TheoryTest1-2022-Q1,hierarchical,BERT,base,49,7.207702782686532
TheoryTest1-2022-Q1,hierarchical,BERT,base,50,7.0649653992523165
TheoryTest1-2022-Q1,hierarchical,BERT,base,51,7.317477866452163
TheoryTest1-2022-Q1,hierarchical,BERT,base,52,7.549381606785331
TheoryTest1-2022-Q1,hierarchical,BERT,base,53,7.029581953827117
TheoryTest1-2022-Q1,hierarchical,BERT,base,54,7.429725420669252
TheoryTest1-2022-Q1,hierarchical,BERT,base,55,7.328003761942952
TheoryTest1-2022-Q1,hierarchical,BERT,base,56,7.373354662840966
TheoryTest1-2022-Q1,hierarchical,BERT,base,57,6.542243177527966
TheoryTest1-2022-Q1,hierarchical,BERT,base,58,6.904969221898637
TheoryTest1-2022-Q1,hierarchical,BERT,base,59,7.125567440617237
TheoryTest1-2022-Q1,hierarchical,BERT,base,60,6.692538302746262
TheoryTest1-2022-Q1,hierarchical,BERT,base,61,6.479055189282315
TheoryTest1-2022-Q1,hierarchical,BERT,base,62,6.505209939456442
TheoryTest1-2022-Q1,hierarchical,BERT,base,63,6.872966966239722
TheoryTest1-2022-Q1,hierarchical,BERT,base,64,6.390678991392978
TheoryTest1-2022-Q1,hierarchical,BERT,base,65,6.738705844702718
TheoryTest1-2022-Q1,hierarchical,BERT,base,66,6.72487258597352
TheoryTest1-2022-Q1,hierarchical,BERT,base,67,6.951950466858108
TheoryTest1-2022-Q1,hierarchical,BERT,base,68,7.2618498530848745
TheoryTest1-2022-Q1,hierarchical,BERT,base,69,6.431967971156108
TheoryTest1-2022-Q1,hierarchical,BERT,base,70,6.340082714425306
TheoryTest1-2022-Q1,hierarchical,BERT,base,71,6.589405520945384
TheoryTest1-2022-Q1,hierarchical,BERT,base,72,6.358997110932254
TheoryTest1-2022-Q1,hierarchical,BERT,base,73,6.287172666660625
TheoryTest1-2022-Q1,hierarchical,BERT,base,74,6.1706190514507995
TheoryTest1-2022-Q1,hierarchical,BERT,base,75,6.422648311971797
TheoryTest1-2022-Q1,hierarchical,BERT,base,76,6.353190033766362
TheoryTest1-2022-Q1,hierarchical,BERT,base,77,6.410910304374235
TheoryTest1-2022-Q1,hierarchical,BERT,base,78,6.465249021270877
TheoryTest1-2022-Q1,hierarchical,BERT,base,79,6.397325468947435
TheoryTest1-2022-Q1,hierarchical,BERT,base,80,6.682157626027353
TheoryTest1-2022-Q1,hierarchical,BERT,base,81,6.599661852866522
TheoryTest1-2022-Q1,hierarchical,BERT,base,82,6.635377762155563
TheoryTest1-2022-Q1,hierarchical,BERT,base,83,6.403741609094883
TheoryTest1-2022-Q1,hierarchical,BERT,base,84,6.343906965394648
TheoryTest1-2022-Q1,hierarchical,BERT,base,85,6.26927276580177
TheoryTest1-2022-Q1,hierarchical,BERT,base,86,6.212807387939559
TheoryTest1-2022-Q1,hierarchical,BERT,base,87,6.212011283651256
TheoryTest1-2022-Q1,hierarchical,BERT,base,88,6.4353645951155585
TheoryTest1-2022-Q1,hierarchical,BERT,base,89,6.3900189774740515
TheoryTest1-2022-Q1,hierarchical,BERT,base,90,6.207907655502116
TheoryTest1-2022-Q1,hierarchical,BERT,base,91,6.155418261686778
TheoryTest1-2022-Q1,hierarchical,BERT,base,92,6.090399503805587
TheoryTest1-2022-Q1,hierarchical,BERT,base,93,6.0249113370980005
TheoryTest1-2022-Q1,hierarchical,BERT,base,94,5.995210033611452
TheoryTest1-2022-Q1,hierarchical,BERT,base,95,5.9382407064342475
TheoryTest1-2022-Q1,hierarchical,BERT,base,96,6.141943184771077
TheoryTest1-2022-Q1,hierarchical,BERT,base,97,6.085030315346206
TheoryTest1-2022-Q1,hierarchical,BERT,base,98,5.891779280788009
TheoryTest1-2022-Q1,hierarchical,BERT,base,99,5.864083407858732
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,2,15.180125225030357
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,3,16.925385010057294
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,4,12.696004998747966
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,5,13.34357471183505
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,6,7.786312259862541
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,7,10.89686967472008
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,8,13.649746946892247
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,9,12.134018477601998
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,10,10.951168456361028
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,11,9.380159358641434
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,12,11.096051345971413
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,13,12.627047549416423
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,14,14.149965724864149
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,15,13.201668770504705
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,16,10.50156447234816
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,17,10.06497034583421
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,18,11.179924468017019
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,19,10.566097154303923
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,20,10.04378554320822
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,21,8.962659410812158
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,22,8.798855976167173
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,23,9.526952749171143
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,24,10.195511419030263
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,25,9.770625472145458
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,26,9.394832184755247
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,27,9.620111850163047
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,28,10.23277947152801
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,29,9.854733227641628
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,30,9.526354249397729
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,31,8.896471854255866
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,32,9.424141968609284
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,33,9.608972658101026
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,34,9.337086350385606
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,35,10.160521830590652
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,36,10.541735596583331
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,37,10.250528162600311
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,38,9.454461632005566
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,39,9.604619316189515
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,40,9.206255542820914
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,41,8.837950493190561
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,42,8.97513230312778
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,43,9.112284975727322
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,44,9.743417086259472
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,45,8.638007817675927
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,46,8.344241578166129
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,47,8.7977856662338
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,48,9.237228544390915
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,49,9.51959663371109
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,50,9.43031704946701
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,51,9.472747524196224
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,52,9.92412512139424
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,53,9.92804732969832
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,54,9.76294654868727
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,55,10.128920154089416
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,56,10.310138214098641
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,57,10.63288706605013
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,58,10.449561426980297
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,59,10.739398972420746
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,60,10.59687225612746
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,61,10.883918049196907
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,62,10.743658016061852
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,63,10.41439360310849
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,64,10.083472728631353
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,65,9.862785002488607
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,66,10.14831626417103
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,67,9.959918136399418
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,68,9.808020321044522
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,69,10.089286243285171
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,70,9.967091764894704
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,71,9.652535482264035
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,72,9.847761926461173
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,73,10.092888670975398
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,74,10.38258678064209
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,75,9.710818956900196
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,76,9.851839989669713
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,77,9.7238940157779
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,78,9.957264314350855
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,79,10.201704086900786
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,80,10.074182785814525
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,81,9.983138498609378
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,82,9.801095558644715
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,83,9.859885464297605
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,84,9.736572521365716
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,85,9.928876372678047
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,86,9.58086618229807
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,87,9.470452461598382
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,88,9.090180690171676
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,89,9.166436266374287
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,90,9.033759085852486
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,91,8.934487007985975
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,92,8.83414444548945
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,93,9.088684677551514
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,94,8.891697708473087
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,95,8.79810089048916
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,96,8.713498848487255
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,97,8.768447403283126
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,98,8.979609204456187
TheoryTest1-2022-Q1,hierarchical,GPT-2,finetuned,99,8.84128946291713
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,2,19.875937993389137
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,3,16.15298630020011
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,4,12.257717121194924
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,5,9.884775974309564
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,6,8.225402311725771
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,7,8.44729108315855
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,8,7.391340234324826
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,9,8.78776808755718
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,10,7.945978134332671
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,11,7.227114722682487
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,12,7.444133968038911
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,13,6.864951314433601
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,14,8.234619759472766
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,15,7.647517803229291
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,16,7.156920376223255
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,17,8.205549620059813
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,18,9.966369872388762
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,19,9.441916084096007
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,20,8.774967140713205
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,21,7.908154876116354
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,22,8.527370930818341
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,23,8.152202074207317
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,24,7.7651226155616655
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,25,7.450367610895509
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,26,7.163930925050173
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,27,6.898520981218166
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,28,6.475560139799912
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,29,6.232543942421317
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,30,5.736117343079127
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,31,6.224115953958619
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,32,6.8968000949396355
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,33,6.687806152668737
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,34,6.638425851559574
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,35,6.465096815348711
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,36,6.49873940787681
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,37,7.185647420233411
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,38,7.6887450902616
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,39,7.572364135659754
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,40,8.003299358798895
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,41,8.14428323161835
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,42,8.1912063215243
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,43,8.223863749745881
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,44,8.310010860334602
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,45,8.125343952327167
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,46,7.980569669860768
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,47,7.771487355335506
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,48,7.401248035432683
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,49,7.057792148672411
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,50,7.419916989171659
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,51,7.813973767012504
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,52,8.068038058129586
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,53,8.52830332077454
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,54,8.782005951994128
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,55,8.622333116503325
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,56,8.46836288228005
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,57,8.606285140811183
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,58,8.751550935744888
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,59,8.264236513105145
TheoryTest1-2022-Q1,hierarchical,BERT,finetuned,60,7.793165904553391
